Transportista,Patente,Date,bajo,medio,alto,distance,raev,dev
Coseducam,TFDS53,2024-10-19,6.2,8.2,10.3,263.3631196621916,3.412287040121147,1.9908969110419263
Coseducam,SKPK78,2024-10-19,6.2,8.2,10.3,520.7663961511106,17.059601830083757,11.666307706471644
Coseducam,TJCC40,2024-10-19,6.2,8.2,10.3,268.2366876032071,8.686360147257465,5.199622260028923
Coseducam,TCSV81,2024-10-19,6.2,8.2,10.3,140.51069902224108,1.6739029099613367,1.2211477627054088
Coseducam,TFHH29,2024-10-19,6.2,8.2,10.3,269.99268514211474,5.165273740445139,3.213207794549132
Coseducam,SXSW22,2024-10-19,6.2,8.2,10.3,506.57412637604415,22.634330102212942,14.330650035155086
Vía Carrión,PJJT97,2024-10-19,6.2,8.2,10.3,531.4546178051511,5.890192495816349,3.941882848690194
Coseducam,SZBK92,2024-10-19,6.2,8.2,10.3,528.8687559366671,11.409624972471061,7.129342408079097
Coseducam,TJPH87,2024-10-19,6.2,8.2,10.3,525.8319024542074,14.418631035230026,8.757682714145806
Coseducam,TCLZ14,2024-10-19,6.2,8.2,10.3,269.18667597427503,7.242775273191366,4.847859484503768
Coseducam,TBRC90,2024-10-19,6.2,8.2,10.3,361.47456347979215,5.798708644004284,3.7330350942578816
Coseducam,TBGK50,2024-10-19,6.2,8.2,10.3,335.11014710457755,15.471555853837339,9.530769634611776
Vía Carrión,LXXL85,2024-10-19,6.2,8.2,10.3,515.8494727842813,6.2874200253048595,4.213800777609183
Coseducam,SCRW86,2024-10-19,6.2,8.2,10.3,407.7171413317976,10.091534132335807,6.683734393462628
Coseducam,TCLY66,2024-10-19,6.2,8.2,10.3,306.3560246410148,7.537918332038988,4.995868415664885
Coseducam,SHXC68,2024-10-19,6.2,8.2,10.3,268.02273625841855,3.8515929225604895,2.541831039212719
Coseducam,SRGS64,2024-10-19,6.2,8.2,10.3,342.2389002950245,9.08341190215201,5.644917742110422
Coseducam,TJPH86,2024-10-19,6.2,8.2,10.3,466.507068380432,9.32844272716709,5.68514081228183
Coseducam,TBRS43,2024-10-19,6.2,8.2,10.3,800.2142979300572,22.085724318109808,13.790729338305836
Vía Carrión,TLZL35,2024-10-19,6.2,8.2,10.3,434.60465286460715,9.657515022053635,6.892931175636842
Coseducam,SXCF12,2024-10-19,6.2,8.2,10.3,152.18980818588471,1.1822970072059171,0.9174825190871764
Coseducam,TBYZ88,2024-10-19,6.2,8.2,10.3,128.3662695015891,2.4482066037480807,2.051351342096981
Coseducam,TDCV27,2024-10-19,6.2,8.2,10.3,527.4372380555525,13.100935354049835,7.828462680553727
Coseducam,TCSW39,2024-10-19,6.2,8.2,10.3,254.2280987204468,7.39252914032807,4.4248052983725765
Coseducam,SHXC82,2024-10-19,6.2,8.2,10.3,524.5669430382663,11.97483414345879,7.554628927273065
Coseducam,RLWB42,2024-10-19,6.2,8.2,10.3,164.44562712729817,6.175360263256866,4.8265298854649785
Coseducam,TCGX23,2024-10-19,6.2,8.2,10.3,401.9036431887979,14.252708510607723,9.907000761802431
Coseducam,TJZC78,2024-10-19,6.2,8.2,10.3,208.50569878917432,2.3048256873092967,1.7405928037831295
Coseducam,TCGW75,2024-10-19,6.2,8.2,10.3,397.1369308138922,3.6273664588649255,2.2960814147779023
Coseducam,TJZC77,2024-10-19,6.2,8.2,10.3,239.9596607250121,9.009797891972292,5.55071976840583
Coseducam,SRGS63,2024-10-19,6.2,8.2,10.3,167.3845894621146,2.7004224624148256,1.8397849678715592
Coseducam,SWKT42,2024-10-19,6.2,8.2,10.3,466.38042129459535,9.682373169754584,6.414610502396443
Coseducam,TFPD16,2024-10-19,6.2,8.2,10.3,525.7909507679403,8.626109627592436,5.863187129733625
